LinuxTime	Length2	Length4	Tension2	Tension4	ErrLength2	ErrLength4	LengthTot	DayTime
1686239008.6884463	604.85	694.9	9.24	9.36	0.19	-3.73	1299.75	17:43:28.67
1686239009.6934314	604.85	694.87	9.24	7.75	0.19	-0.05	1299.72	17:43:29.68
1686239011.052139	604.85	694.9	8.97	9.22	0.77	-3.43	1299.75	17:43:31.04
1686239012.057195	604.84	694.89	8.04	8.55	2.82	-1.89	1299.73	17:43:32.04
1686239013.0627875	604.86	694.89	9.64	8.96	-0.69	-2.81	1299.75	17:43:33.04
1686239014.317146	604.85	694.88	9.24	8.15	0.19	-0.97	1299.73	17:43:34.30
1686239015.3214405	604.85	694.89	8.84	8.55	1.07	-1.89	1299.74	17:43:35.31
1686239016.3240309	604.85	694.9	8.84	9.22	1.07	-3.43	1299.75	17:43:36.31
1686239018.5670216	604.86	694.88	9.51	8.15	-0.39	-0.97	1299.74	17:43:38.55
1686239019.5719852	604.84	694.88	8.31	8.42	2.23	-1.59	1299.72	17:43:39.55
1686239020.8138726	604.85	694.89	9.11	8.69	0.48	-2.2	1299.74	17:43:40.80
1686239021.818768	604.84	694.88	8.31	8.29	2.23	-1.28	1299.72	17:43:41.80
1686239024.0619686	604.86	694.88	9.51	8.29	-0.39	-1.28	1299.74	17:43:44.04
1686239026.066618	604.84	694.89	8.31	8.55	2.23	-1.89	1299.73	17:43:46.04
1686239028.3031108	604.86	694.88	9.37	8.29	-0.1	-1.28	1299.74	17:43:48.29
1686239029.3076289	604.86	694.89	9.51	8.82	-0.39	-2.51	1299.75	17:43:49.29
1686239030.5473576	604.86	694.88	9.37	8.29	-0.1	-1.28	1299.74	17:43:50.53
1686239032.5534337	604.84	694.89	8.31	8.55	2.23	-1.89	1299.73	17:43:52.53
1686239033.8097687	604.86	694.88	9.37	8.29	-0.1	-1.28	1299.74	17:43:53.80
1686239034.8147733	604.86	694.88	9.37	8.42	-0.1	-1.59	1299.74	17:43:54.80
1686239037.055374	604.85	694.89	8.84	8.69	1.07	-2.2	1299.74	17:43:57.04
1686239038.0603223	604.84	694.88	8.17	8.42	2.53	-1.59	1299.72	17:43:58.04
1686239039.0655594	604.85	694.88	8.97	8.42	0.77	-1.59	1299.73	17:43:59.05
1686239041.2923374	604.84	694.89	8.31	8.55	2.23	-1.89	1299.73	17:44:01.27
1686239042.3045015	604.86	694.87	9.37	7.89	-0.1	-0.36	1299.73	17:44:02.29
1686239045.53341	604.85	694.88	9.11	8.29	0.48	-1.28	1299.73	17:44:05.52
1686239046.791114	604.84	694.89	8.44	8.55	1.94	-1.89	1299.73	17:44:06.78
1686239047.7966845	604.85	694.89	8.71	8.82	1.36	-2.51	1299.74	17:44:07.78
1686239048.8016756	604.86	694.89	9.64	8.82	-0.69	-2.51	1299.75	17:44:08.78
1686239051.0405526	604.84	694.88	8.44	8.42	1.94	-1.59	1299.72	17:44:11.03
1686239052.0442522	604.86	694.89	9.51	8.82	-0.39	-2.51	1299.75	17:44:12.03
1686239053.2843692	604.85	694.89	8.97	8.69	0.77	-2.2	1299.74	17:44:13.27
1686239054.2893384	604.85	694.88	8.97	8.42	0.77	-1.59	1299.73	17:44:14.27
1686239055.2943168	604.85	694.88	8.97	8.29	0.77	-1.28	1299.73	17:44:15.27
1686239056.5364306	604.85	694.89	8.71	8.55	1.36	-1.89	1299.74	17:44:16.52
1686239057.5407515	604.85	694.89	8.71	9.09	1.36	-3.12	1299.74	17:44:17.52
1686239058.5453224	604.85	694.89	8.97	8.69	0.77	-2.2	1299.74	17:44:18.52
1686239060.7840323	604.86	694.89	9.64	8.69	-0.69	-2.2	1299.75	17:44:20.76
1686239061.7890627	604.85	694.88	8.84	8.42	1.07	-1.59	1299.73	17:44:21.77
1686239063.0211215	604.85	694.88	8.97	8.42	0.77	-1.59	1299.73	17:44:23.01
1686239064.0254247	604.85	694.88	9.11	8.15	0.48	-0.97	1299.73	17:44:24.01
1686239065.0302436	604.85	694.89	9.11	8.82	0.48	-2.51	1299.74	17:44:25.01
1686239067.2751527	604.86	694.88	9.51	8.42	-0.39	-1.59	1299.74	17:44:27.25
1686239068.2787733	604.84	694.89	8.31	8.69	2.23	-2.2	1299.73	17:44:28.26
1686239069.5345476	604.85	694.89	8.97	8.69	0.77	-2.2	1299.74	17:44:29.52
