LinuxTime	Length1	Length3	Tension1	Tension3	ErrLength1	ErrLength3	LengthTot	DayTime
1685098380.9362843	1294.94	49.1	105.69	-0.99	-26.0	17.94	1344.04	12:53:00.93
1685098381.9409292	1294.94	49.1	105.69	-0.99	-26.0	17.94	1344.04	12:53:01.93
1685098385.3010347	1294.94	49.1	105.69	-0.99	-26.0	17.94	1344.04	12:53:05.29
1685098386.5379386	1294.94	49.1	105.69	-0.99	-26.0	17.94	1344.04	12:53:06.52
1685098387.5418434	1294.94	49.1	105.69	-0.99	-26.0	17.94	1344.04	12:53:07.52
1685098388.5467515	1294.94	49.1	105.69	-0.99	-26.0	17.94	1344.04	12:53:08.54
1685098390.7835782	1294.94	49.1	105.69	-0.99	-26.0	17.94	1344.04	12:53:10.76
1685098391.7886105	1294.94	49.1	105.69	-0.99	-26.0	17.94	1344.04	12:53:11.76
