LinuxTime	Length2	Length4	Tension2	Tension4	TargetLength2	TargetLength4	ErrLength2	ErrLength4	LengthTot	DayTime
1687188134.8179588	601.85	698.0	4.97	4.54	0.0	0.0	1.0	-8.28	1299.85	17:22:14.80
1687188135.822305	601.85	697.99	4.7	4.41	0.0	0.0	1.59	-7.98	1299.8400000000001	17:22:15.80
1687188137.9857848	601.86	698.01	5.1	4.95	0.0	0.0	0.71	-9.2	1299.87	17:22:17.96
1687188138.9910102	601.86	698.01	5.5	5.35	0.0	0.0	-0.16	-10.12	1299.87	17:22:18.97
1687188140.2626698	601.85	698.0	4.97	4.54	0.0	0.0	1.0	-8.28	1299.85	17:22:20.25
1687188141.2655842	601.84	698.0	4.17	4.54	0.0	0.0	2.76	-8.28	1299.8400000000001	17:22:21.25
1687188142.2706304	601.86	698.01	5.24	4.95	0.0	0.0	0.42	-9.2	1299.87	17:22:22.25
1687188144.4900503	601.84	698.0	4.43	4.54	0.0	0.0	2.17	-8.28	1299.8400000000001	17:22:24.47
1687188145.4945657	601.84	697.99	4.3	4.14	0.0	0.0	2.46	-7.36	1299.83	17:22:25.48
1687188146.7104938	601.84	698.0	4.17	4.81	0.0	0.0	2.76	-8.9	1299.8400000000001	17:22:26.70
1687188147.7152412	601.85	698.0	4.57	4.68	0.0	0.0	1.88	-8.59	1299.85	17:22:27.70
1687188148.7205026	601.86	697.99	5.1	4.41	0.0	0.0	0.71	-7.98	1299.85	17:22:28.70
1687188150.9207764	601.85	698.0	4.83	4.54	0.0	0.0	1.3	-8.28	1299.85	17:22:30.90
1687188151.9264066	601.85	698.0	4.7	4.81	0.0	0.0	1.59	-8.9	1299.85	17:22:31.91
1687188153.1222577	601.85	697.99	4.57	4.14	0.0	0.0	1.88	-7.36	1299.8400000000001	17:22:33.11
1687188154.1266146	601.85	698.0	4.83	4.81	0.0	0.0	1.3	-8.9	1299.85	17:22:34.11
1687188155.1324692	601.84	697.99	4.17	4.41	0.0	0.0	2.76	-7.98	1299.83	17:22:35.11
1687188157.337564	601.86	698.0	5.5	4.81	0.0	0.0	-0.16	-8.9	1299.8600000000001	17:22:37.32
1687188158.3426685	601.85	697.99	4.57	4.28	0.0	0.0	1.88	-7.67	1299.8400000000001	17:22:38.32
1687188159.5602257	601.84	698.0	4.03	4.81	0.0	0.0	3.05	-8.9	1299.8400000000001	17:22:39.54
1687188160.5650723	601.86	698.0	5.5	4.54	0.0	0.0	-0.16	-8.28	1299.8600000000001	17:22:40.54
1687188161.5770676	601.86	698.0	5.24	4.68	0.0	0.0	0.42	-8.59	1299.8600000000001	17:22:41.56
1687188162.778368	601.86	698.0	5.1	4.54	0.0	0.0	0.71	-8.28	1299.8600000000001	17:22:42.76
1687188163.7826798	601.85	697.99	4.83	4.41	0.0	0.0	1.3	-7.98	1299.8400000000001	17:22:43.77
1687188164.7869635	601.85	698.0	4.97	4.54	0.0	0.0	1.0	-8.28	1299.85	17:22:44.77
1687188165.9940856	601.85	698.0	4.7	4.68	0.0	0.0	1.59	-8.59	1299.85	17:22:45.97
1687188167.0055895	601.85	697.98	4.83	3.88	0.0	0.0	1.3	-6.75	1299.83	17:22:46.99
1687188168.0102854	601.86	698.0	5.1	4.81	0.0	0.0	0.71	-8.9	1299.8600000000001	17:22:47.99
1687188170.2146556	601.85	698.0	4.57	4.68	0.0	0.0	1.88	-8.59	1299.85	17:22:50.20
1687188171.2200522	601.85	697.99	4.97	4.28	0.0	0.0	1.0	-7.67	1299.8400000000001	17:22:51.20
1687188173.4425123	601.85	698.0	4.97	4.81	0.0	0.0	1.0	-8.9	1299.85	17:22:53.42
1687188174.4473941	601.84	697.99	4.3	4.41	0.0	0.0	2.46	-7.98	1299.83	17:22:54.42
1687188176.6633525	601.86	697.99	5.37	4.28	0.0	0.0	0.13	-7.67	1299.85	17:22:56.65
1687188177.6693056	601.85	698.0	4.7	4.81	0.0	0.0	1.59	-8.9	1299.85	17:22:57.65
1687188178.8736613	601.85	698.0	4.83	4.81	0.0	0.0	1.3	-8.9	1299.85	17:22:58.85
1687188179.8783906	601.85	697.99	4.83	4.28	0.0	0.0	1.3	-7.67	1299.8400000000001	17:22:59.85
1687188180.888646	601.84	698.0	4.43	4.54	0.0	0.0	2.17	-8.28	1299.8400000000001	17:23:00.87
