LinuxTime	Length2	Length4	Tension2	Tension4	TargetLength2	TargetLength4	ErrLength2	ErrLength4	LengthTot	DayTime
1688042139.0124898	606.14	692.88	4.7	4.41	0.0	0.0	0.72	-6.1	1299.02	14:35:39.00
1688042140.0165546	606.13	692.88	4.17	4.54	0.0	0.0	1.88	-6.41	1299.01	14:35:40.00
1688042141.19532	606.15	692.88	4.97	4.28	0.0	0.0	0.13	-5.79	1299.03	14:35:41.18
1688042142.199157	606.13	692.9	4.17	5.48	0.0	0.0	1.88	-8.55	1299.03	14:35:42.18
1688042143.2024832	606.14	692.89	4.43	4.68	0.0	0.0	1.3	-6.71	1299.03	14:35:43.18
1688042144.4998927	606.14	692.89	4.83	4.68	0.0	0.0	0.42	-6.71	1299.03	14:35:44.49
1688042145.504403	606.13	692.89	3.9	4.68	0.0	0.0	2.47	-6.71	1299.02	14:35:45.49
1688042146.508461	606.13	692.89	3.9	4.95	0.0	0.0	2.47	-7.33	1299.02	14:35:46.49
1688042147.7116902	606.15	692.89	4.97	4.81	0.0	0.0	0.13	-7.02	1299.04	14:35:47.69
1688042148.7162776	606.15	692.89	5.1	4.81	0.0	0.0	-0.16	-7.02	1299.04	14:35:48.69
1688042149.729399	606.14	692.89	4.43	4.81	0.0	0.0	1.3	-7.02	1299.03	14:35:49.72
1688042151.9440906	606.15	692.89	4.97	4.68	0.0	0.0	0.13	-6.71	1299.04	14:35:51.92
1688042152.9551399	606.14	692.88	4.57	4.41	0.0	0.0	1.01	-6.1	1299.02	14:35:52.94
1688042154.155952	606.14	692.88	4.83	4.41	0.0	0.0	0.42	-6.1	1299.02	14:35:54.14
1688042155.1605964	606.14	692.88	4.7	4.41	0.0	0.0	0.72	-6.1	1299.02	14:35:55.14
1688042156.1647172	606.12	692.9	3.63	5.48	0.0	0.0	3.05	-8.55	1299.02	14:35:56.15
1688042158.3669374	606.32	692.89	4.7	4.95	0.0	0.0	0.9	-7.33	1299.21	14:35:58.35
1688042161.5778227	606.33	692.88	4.83	4.41	0.0	0.0	0.6	-6.1	1299.21	14:36:01.56
1688042162.5825634	606.31	692.9	4.17	5.35	0.0	0.0	2.06	-8.25	1299.21	14:36:02.56
1688042164.7990816	606.77	692.88	4.3	4.14	0.0	0.0	2.22	-5.49	1299.65	14:36:04.78
1688042165.8035266	606.74	692.9	4.43	5.21	0.0	0.0	1.9	-7.94	1299.6399999999999	14:36:05.78
1688042169.011589	606.72	692.88	4.97	4.28	0.0	0.0	0.7	-5.79	1299.6	14:36:08.99
1688042171.2167847	606.72	692.89	4.97	5.08	0.0	0.0	0.7	-7.63	1299.6100000000001	14:36:11.20
1688042172.221906	606.72	692.89	4.83	4.68	0.0	0.0	0.99	-6.71	1299.6100000000001	14:36:12.20
1688042173.4233785	606.71	692.89	4.43	4.81	0.0	0.0	1.87	-7.02	1299.6	14:36:13.40
1688042174.4350057	606.72	692.88	4.7	4.28	0.0	0.0	1.29	-5.79	1299.6	14:36:14.42
1688042176.6485255	606.72	692.89	4.97	4.68	0.0	0.0	0.7	-6.71	1299.6100000000001	14:36:16.62
