Time	FlowIn	Tout	Hout	Tamb	Hamb	Hin	CryoL	Ta	Tb	Tc	Td	I1	I3
1686216246.0964658	-0.990	23.900	42.700	24.000	45.200	-7.526	0.000	22.340	22.391	22.505	22.710	0.080	0.090
1686216247.096434	-0.990	23.900	42.700	24.000	45.200	-7.716	0.000	22.339	22.390	22.505	22.711	0.080	0.090
1686216248.1064045	-0.260	23.900	42.700	24.000	45.200	-7.526	0.000	22.340	22.391	22.506	22.711	0.080	0.090
1686216249.1063714	-1.170	23.900	42.700	24.000	45.200	-7.716	0.000	22.340	22.390	22.506	22.711	0.080	0.090
1686216250.0963411	-1.350	23.900	42.700	24.000	45.200	-7.716	0.000	22.340	22.390	22.505	22.711	0.080	0.090
1686216251.0962737	-1.540	23.900	42.700	24.000	45.200	-7.906	0.000	22.340	22.390	22.506	22.711	0.080	0.090
1686216252.10628	-1.170	23.900	42.700	24.000	45.200	-7.526	0.000	22.340	22.390	22.505	22.711	0.080	0.090
1686216253.096248	-1.170	23.900	42.700	24.000	45.200	-7.526	0.000	22.340	22.391	22.505	22.711	0.080	0.090
1686216254.0962164	-0.810	23.900	42.700	24.000	45.200	-7.526	0.000	22.340	22.390	22.506	22.711	0.080	0.090
1686216255.1061845	-1.170	23.900	42.700	24.000	45.200	-7.906	0.000	22.340	22.390	22.506	22.711	0.080	0.090
1686216256.0961537	-0.990	23.900	42.700	24.000	45.200	-7.716	0.000	22.340	22.390	22.506	22.711	0.080	0.090
1686216257.106122	-0.810	23.900	42.700	24.000	45.200	-8.096	0.000	22.340	22.391	22.507	22.711	0.080	0.090
1686216258.096091	-0.620	23.900	42.700	24.000	45.200	-7.716	0.000	22.339	22.390	22.506	22.711	0.080	0.090
1686216259.0960405	-0.620	23.900	42.700	24.000	45.200	-7.526	0.000	22.340	22.390	22.506	22.711	0.080	0.090
1686216260.105996	-0.810	23.900	42.700	24.000	45.100	-7.716	0.000	22.340	22.390	22.506	22.711	0.080	0.090
1686216261.0959976	-0.810	23.900	42.700	24.000	45.100	-7.716	0.000	22.339	22.390	22.505	22.711	0.080	0.090
1686216262.0959668	-1.170	23.900	42.700	24.000	45.100	-7.336	0.000	22.339	22.390	22.506	22.711	0.080	0.090
1686216263.0959373	-0.260	23.900	42.700	24.000	45.100	-7.526	0.000	22.340	22.390	22.507	22.711	0.080	0.090
1686216264.105904	-1.540	23.900	42.700	24.000	45.200	-7.716	0.000	22.340	22.390	22.507	22.711	0.080	0.090
1686216265.0958753	-0.990	23.900	42.700	24.000	45.200	-7.716	0.000	22.340	22.391	22.507	22.711	0.080	0.090
1686216266.0958424	-1.350	23.900	42.700	24.000	45.200	-7.716	0.000	22.339	22.391	22.506	22.712	0.080	0.090
1686216267.0957763	-0.070	23.900	42.700	24.000	45.200	-7.716	0.000	22.340	22.391	22.505	22.712	0.080	0.090
1686216268.1057796	-0.260	23.900	42.700	24.000	45.200	-7.526	0.000	22.340	22.391	22.507	22.712	0.080	0.090
1686216269.095749	-0.620	23.900	42.700	24.000	45.200	-7.716	0.000	22.340	22.391	22.506	22.712	0.080	0.090
1686216270.095718	-0.990	23.900	42.700	24.000	45.200	-7.526	0.000	22.340	22.391	22.506	22.711	0.080	0.090
1686216271.105687	-1.170	23.900	42.700	24.000	45.200	-7.716	0.000	22.339	22.390	22.506	22.712	0.080	0.090
1686216272.0956564	-1.170	23.900	42.700	24.000	45.100	-7.906	0.000	22.340	22.390	22.505	22.712	0.080	0.090
1686216273.105624	-0.810	23.900	42.700	24.000	45.100	-7.906	0.000	22.339	22.391	22.506	22.711	0.080	0.090
1686216274.0955935	-0.620	23.900	42.700	24.000	45.200	-7.336	0.000	22.339	22.391	22.506	22.712	0.080	0.090
1686216275.105562	-0.620	23.900	42.700	24.000	45.200	-7.906	0.000	22.340	22.391	22.507	22.711	0.080	0.090
1686216276.0955317	-0.810	23.900	42.700	24.000	45.100	-7.716	0.000	22.339	22.391	22.507	22.711	0.080	0.090
1686216277.1054995	-0.620	23.900	42.700	24.000	45.100	-7.906	0.000	22.339	22.390	22.506	22.711	0.080	0.090
1686216278.0954683	-0.810	23.900	42.700	24.000	45.100	-7.716	0.000	22.339	22.390	22.506	22.711	0.080	0.090
1686216279.0954382	-1.170	23.900	42.700	24.000	45.100	-7.716	0.000	22.339	22.391	22.507	22.711	0.080	0.090
1686216280.1054058	-0.440	23.900	42.700	24.000	45.100	-7.336	0.000	22.339	22.391	22.507	22.711	0.080	0.090
1686216281.0953755	-0.990	23.900	42.700	24.000	45.100	-7.906	0.000	22.340	22.392	22.506	22.712	0.080	0.090
1686216282.1053438	-0.810	23.900	42.700	24.000	45.100	-7.526	0.000	22.340	22.391	22.505	22.712	0.080	0.090
1686216283.0953128	-0.260	23.900	42.700	24.000	45.100	-8.096	0.000	22.340	22.391	22.506	22.712	0.080	0.090
1686216284.0952828	-0.810	23.900	42.700	24.000	45.100	-7.526	0.000	22.339	22.391	22.506	22.713	0.080	0.090
1686216285.0952513	-0.440	23.900	42.700	24.000	45.100	-7.906	0.000	22.340	22.391	22.506	22.711	0.080	0.090
1686216286.095221	-1.350	23.900	42.700	24.000	45.100	-7.716	0.000	22.340	22.391	22.506	22.712	0.080	0.090
1686216287.1051886	-0.810	23.900	42.700	24.000	45.100	-7.906	0.000	22.340	22.391	22.506	22.712	0.080	0.090
1686216288.0951574	-0.810	23.900	42.700	24.000	45.100	-7.906	0.000	22.339	22.391	22.505	22.712	0.080	0.090
1686216289.1051257	-0.810	23.900	42.700	24.000	45.100	-7.716	0.000	22.339	22.391	22.506	22.712	0.080	0.090
1686216290.0950975	-0.440	23.900	42.700	24.000	45.100	-7.716	0.000	22.339	22.391	22.506	22.712	0.080	0.090
1686216291.1050632	-0.990	23.900	42.700	24.000	45.100	-7.526	0.000	22.339	22.391	22.506	22.712	0.080	0.090
1686216292.1050322	-0.440	23.900	42.700	24.000	45.200	-7.716	0.000	22.340	22.392	22.507	22.712	0.080	0.090
1686216293.0950017	-0.620	23.900	42.700	24.000	45.200	-7.716	0.000	22.340	22.391	22.506	22.712	0.080	0.090
1686216294.1049707	-0.990	23.900	42.700	24.000	45.100	-7.906	0.000	22.339	22.391	22.506	22.713	0.080	0.090
1686216295.1049094	-0.810	23.900	42.700	24.000	45.100	-7.716	0.000	22.339	22.391	22.507	22.712	0.080	0.090
1686216296.0949075	-0.990	23.900	42.700	24.000	45.100	-7.716	0.000	22.339	22.391	22.507	22.711	0.080	0.090
1686216297.0948777	-0.620	23.900	42.700	24.000	45.100	-7.526	0.000	22.340	22.391	22.507	22.712	0.080	0.090
1686216298.104846	-0.810	23.900	42.700	24.000	45.100	-7.526	0.000	22.339	22.391	22.507	22.712	0.080	0.090
1686216299.1048148	-0.990	23.900	42.700	24.000	45.100	-7.716	0.000	22.339	22.391	22.507	22.712	0.080	0.090
