LinuxTime	Length2	Length4	Tension2	Tension4	TargetLength2	TargetLength4	ErrLength2	ErrLength4	LengthTot	DayTime
1686843423.0561879	606.49	692.73	4.3	5.88	0.0	0.0	1.68	-6.93	1299.22	17:37:03.04
1686843424.0608392	606.49	692.71	4.57	4.95	0.0	0.0	1.1	-4.79	1299.2	17:37:04.04
1686843426.220364	606.48	692.71	3.9	5.08	0.0	0.0	2.56	-5.09	1299.19	17:37:06.20
1686843427.2247496	606.49	692.7	4.7	4.41	0.0	0.0	0.81	-3.56	1299.19	17:37:07.20
1686843428.506252	606.5	692.73	4.83	5.88	0.0	0.0	0.52	-6.93	1299.23	17:37:08.49
1686843429.5110126	606.5	692.72	4.83	5.48	0.0	0.0	0.52	-6.01	1299.22	17:37:09.49
1686843430.523429	606.48	692.71	3.9	5.08	0.0	0.0	2.56	-5.09	1299.19	17:37:10.51
1686843431.7356458	606.47	692.7	3.63	4.54	0.0	0.0	3.14	-3.87	1299.17	17:37:11.71
1686843432.7461593	606.48	692.71	4.03	5.08	0.0	0.0	2.27	-5.09	1299.19	17:37:12.73
1686843433.7512238	606.5	692.71	4.83	5.08	0.0	0.0	0.52	-5.09	1299.21	17:37:13.73
1686843434.9580717	606.49	692.7	4.7	4.68	0.0	0.0	0.81	-4.17	1299.19	17:37:14.94
1686843435.9621842	606.49	692.72	4.43	5.48	0.0	0.0	1.39	-6.01	1299.21	17:37:15.94
1686843436.972633	606.49	692.71	4.3	5.08	0.0	0.0	1.68	-5.09	1299.2	17:37:16.96
1686843439.1762097	606.5	692.71	4.83	5.08	0.0	0.0	0.52	-5.09	1299.21	17:37:19.16
1686843440.1800528	606.49	692.71	4.43	5.08	0.0	0.0	1.39	-5.09	1299.2	17:37:20.16
1686843442.3812125	606.49	692.71	4.43	4.81	0.0	0.0	1.39	-4.48	1299.2	17:37:22.37
1686843443.384876	606.5	692.72	5.24	5.35	0.0	0.0	-0.36	-5.71	1299.22	17:37:23.37
1686843445.593507	606.49	692.7	4.43	4.41	0.0	0.0	1.39	-3.56	1299.19	17:37:25.57
1686843446.5975986	606.49	692.72	4.7	5.21	0.0	0.0	0.81	-5.4	1299.21	17:37:26.57
1686843448.8143628	606.49	692.71	4.43	4.95	0.0	0.0	1.39	-4.79	1299.2	17:37:28.80
1686843449.8189986	606.49	692.71	4.3	4.81	0.0	0.0	1.68	-4.48	1299.2	17:37:29.80
1686843451.017817	606.48	692.72	3.9	5.21	0.0	0.0	2.56	-5.4	1299.2	17:37:31.00
1686843452.022413	606.49	692.7	4.7	4.28	0.0	0.0	0.81	-3.25	1299.19	17:37:32.00
1686843453.026652	606.49	692.7	4.3	4.68	0.0	0.0	1.68	-4.17	1299.19	17:37:33.00
1686843454.2396681	606.5	692.73	4.97	5.75	0.0	0.0	0.22	-6.63	1299.23	17:37:34.23
1686843455.2440906	606.48	692.71	4.03	4.95	0.0	0.0	2.27	-4.79	1299.19	17:37:35.23
1686843456.2478273	606.49	692.7	4.43	4.41	0.0	0.0	1.39	-3.56	1299.19	17:37:36.23
1686843457.4461358	606.49	692.71	4.43	4.95	0.0	0.0	1.39	-4.79	1299.2	17:37:37.43
1686843458.4509969	606.47	692.71	3.63	5.08	0.0	0.0	3.14	-5.09	1299.18	17:37:38.43
1686843460.6767483	606.49	692.71	4.43	4.95	0.0	0.0	1.39	-4.79	1299.2	17:37:40.66
1686843461.682038	606.48	692.71	3.9	4.95	0.0	0.0	2.56	-4.79	1299.19	17:37:41.66
