LinuxTime	Length2	Length4	Tension2	Tension4	ErrLength2	ErrLength4	LengthTot	DayTime
1686298868.598176	604.53	695.24	6.97	9.09	-2.05	3.69	1299.77	10:21:08.58
1686298869.6034422	604.51	695.24	5.77	8.69	0.57	4.61	1299.75	10:21:09.58
1686298871.9479058	604.51	695.22	5.77	8.02	0.57	6.14	1299.73	10:21:11.93
1686298872.9533167	604.52	695.23	6.44	8.55	-0.89	4.91	1299.75	10:21:12.93
1686298874.2044694	604.53	695.25	6.57	9.76	-1.18	2.15	1299.78	10:21:14.19
1686298875.2071078	604.52	695.24	6.44	8.69	-0.89	4.61	1299.76	10:21:15.19
1686298876.2100372	604.53	695.24	6.57	8.96	-1.18	3.99	1299.77	10:21:16.19
1686298877.4505713	604.54	695.24	7.24	8.82	-2.64	4.3	1299.78	10:21:17.44
1686298878.455521	604.53	695.23	6.84	8.29	-1.76	5.53	1299.76	10:21:18.44
1686298879.4594278	604.54	695.22	7.24	8.02	-2.64	6.14	1299.76	10:21:19.44
1686298880.703271	604.53	695.24	6.57	8.69	-1.18	4.61	1299.77	10:21:20.68
1686298881.7073236	604.52	695.24	6.44	8.96	-0.89	3.99	1299.76	10:21:21.68
1686298882.710057	604.52	695.23	6.3	8.42	-0.59	5.22	1299.75	10:21:22.68
1686298884.9648743	604.53	695.24	6.57	8.69	-1.18	4.61	1299.77	10:21:24.95
1686298885.969467	604.52	695.24	6.04	8.96	-0.01	3.99	1299.76	10:21:25.95
1686298887.2106357	604.53	695.24	6.57	8.82	-1.18	4.3	1299.77	10:21:27.19
1686298888.2135413	604.53	695.25	6.84	9.36	-1.76	3.07	1299.78	10:21:28.19
1686298889.2168052	604.52	695.24	6.44	8.69	-0.89	4.61	1299.76	10:21:29.20
1686298890.4603581	604.53	695.22	6.97	7.89	-2.05	6.45	1299.75	10:21:30.44
1686298891.4725423	604.53	695.24	6.57	8.69	-1.18	4.61	1299.77	10:21:31.46
1686298892.4770105	604.51	695.22	5.77	8.02	0.57	6.14	1299.73	10:21:32.46
1686298893.7226517	604.52	695.23	6.44	8.15	-0.89	5.83	1299.75	10:21:33.70
1686298894.727118	604.52	695.23	6.44	8.55	-0.89	4.91	1299.75	10:21:34.70
1686298895.7316916	604.53	695.24	6.97	8.69	-2.05	4.61	1299.77	10:21:35.71
1686298896.961454	604.53	695.23	6.57	8.55	-1.18	4.91	1299.76	10:21:36.95
1686298897.9664707	604.53	695.25	6.7	9.62	-1.47	2.46	1299.78	10:21:37.95
1686298898.9718742	604.53	695.24	6.7	8.82	-1.47	4.3	1299.77	10:21:38.95
1686298901.211783	604.52	695.23	6.3	8.42	-0.59	5.22	1299.75	10:21:41.20
1686298902.2168424	604.53	695.24	6.7	9.09	-1.47	3.69	1299.77	10:21:42.20
1686298903.436888	604.52	695.23	5.9	8.55	0.28	4.91	1299.75	10:21:43.42
