LinuxTime	Length2	Length4	Tension2	Tension4	TargetLength2	TargetLength4	ErrLength2	ErrLength4	LengthTot	DayTime
1686930029.7589421	612.89	686.82	6.7	13.9	0.0	0.0	0.58	0.92	1299.71	17:40:29.74
1686930030.763576	612.9	686.82	7.51	13.5	0.0	0.0	-1.17	1.84	1299.72	17:40:30.75
1686930031.9211402	612.9	686.81	7.51	13.23	0.0	0.0	-1.17	2.45	1299.71	17:40:31.91
1686930032.9264672	612.9	686.82	7.51	13.63	0.0	0.0	-1.17	1.53	1299.72	17:40:32.91
1686930033.9302824	612.9	686.82	7.37	14.03	0.0	0.0	-0.88	0.61	1299.72	17:40:33.91
1686930035.187705	612.89	686.82	6.84	14.03	0.0	0.0	0.29	0.61	1299.71	17:40:35.17
1686930036.1918428	612.9	686.83	7.1	14.17	0.0	0.0	-0.29	0.31	1299.73	17:40:36.17
1686930037.196913	612.9	686.82	7.51	13.77	0.0	0.0	-1.17	1.23	1299.72	17:40:37.18
1686930038.3984673	612.9	686.82	7.24	13.63	0.0	0.0	-0.58	1.53	1299.72	17:40:38.38
1686930039.402571	612.9	686.82	7.51	13.77	0.0	0.0	-1.17	1.23	1299.72	17:40:39.38
1686930040.4081514	612.89	686.82	6.7	13.9	0.0	0.0	0.58	0.92	1299.71	17:40:40.38
1686930041.6278212	612.89	686.82	6.57	13.9	0.0	0.0	0.88	0.92	1299.71	17:40:41.60
1686930042.6404295	612.9	686.82	7.24	13.37	0.0	0.0	-0.58	2.15	1299.72	17:40:42.63
1686930043.6455812	612.9	686.84	7.24	14.84	0.0	0.0	-0.58	-1.23	1299.74	17:40:43.63
1686930046.8489122	612.9	686.82	7.51	14.03	0.0	0.0	-1.17	0.61	1299.72	17:40:46.83
1686930049.05346	612.89	686.84	6.84	14.97	0.0	0.0	0.29	-1.53	1299.73	17:40:49.04
1686930051.2594275	612.89	686.82	6.57	13.9	0.0	0.0	0.88	0.92	1299.71	17:40:51.24
1686930052.2643483	612.9	686.83	7.37	14.17	0.0	0.0	-0.88	0.31	1299.73	17:40:52.24
1686930053.2691705	612.89	686.81	6.7	13.23	0.0	0.0	0.58	2.45	1299.6999999999998	17:40:53.24
1686930055.4920356	612.9	686.82	7.24	14.03	0.0	0.0	-0.58	0.61	1299.72	17:40:55.47
1686930056.503791	612.91	686.82	7.91	13.9	0.0	0.0	-2.04	0.92	1299.73	17:40:56.49
1686930057.7039483	612.9	686.82	7.64	13.63	0.0	0.0	-1.46	1.53	1299.72	17:40:57.69
1686930058.7089524	612.91	686.82	7.77	13.77	0.0	0.0	-1.75	1.23	1299.73	17:40:58.69
1686930059.7126594	612.9	686.83	7.64	14.7	0.0	0.0	-1.46	-0.92	1299.73	17:40:59.69
1686930061.9142427	612.9	686.83	7.24	14.7	0.0	0.0	-0.58	-0.92	1299.73	17:41:01.90
1686930062.918491	612.9	686.82	7.1	13.63	0.0	0.0	-0.29	1.53	1299.72	17:41:02.90
1686930065.1272745	612.9	686.81	7.24	13.23	0.0	0.0	-0.58	2.45	1299.71	17:41:05.10
1686930066.140046	612.9	686.82	7.51	13.9	0.0	0.0	-1.17	0.92	1299.72	17:41:06.13
1686930067.3616192	612.91	686.82	7.91	14.03	0.0	0.0	-2.04	0.61	1299.73	17:41:07.35
1686930068.3666756	612.9	686.82	7.51	14.03	0.0	0.0	-1.17	0.61	1299.72	17:41:08.35
1686930069.3707626	612.9	686.82	7.24	13.63	0.0	0.0	-0.58	1.53	1299.72	17:41:09.35
1686930070.5865781	612.9	686.82	7.1	13.77	0.0	0.0	-0.29	1.23	1299.72	17:41:10.57
1686930071.5905457	612.9	686.82	7.24	13.77	0.0	0.0	-0.58	1.23	1299.72	17:41:11.57
1686930072.5951805	612.9	686.82	7.37	13.9	0.0	0.0	-0.88	0.92	1299.72	17:41:12.58
1686930073.8021069	612.9	686.84	7.64	15.1	0.0	0.0	-1.47	-1.85	1299.74	17:41:13.78
1686930074.820491	612.9	686.81	7.24	13.23	0.0	0.0	-2.14	0.61	1299.71	17:41:14.80
1686930075.8263316	613.53	686.16	5.5	11.9	0.0	0.0	0.45	0.03	1299.69	17:41:15.80
1686930077.0254393	613.75	685.96	5.5	10.83	0.0	0.0	-1.0	-1.31	1299.71	17:41:17.00
1686930078.0301087	613.75	685.95	5.77	10.16	0.0	0.0	-2.51	-2.79	1299.7	17:41:18.01
1686930079.043935	613.72	685.94	4.17	9.09	0.0	0.0	0.37	-3.41	1299.66	17:41:19.03
1686930080.232703	613.73	685.91	4.7	7.62	0.0	0.0	-0.81	-3.58	1299.6399999999999	17:41:20.21
1686930081.2485182	613.73	685.9	4.83	7.08	0.0	0.0	-1.1	-5.13	1299.63	17:41:21.23
1686930082.2521694	613.73	685.91	4.83	5.88	0.0	0.0	-1.1	-4.34	1299.6399999999999	17:41:22.23
1686930084.436293	613.72	685.91	4.3	6.01	0.0	0.0	0.07	-7.5	1299.63	17:41:24.42
1686930085.441338	613.74	685.89	5.1	4.95	0.0	0.0	-1.68	-5.89	1299.63	17:41:25.42
1686930086.633963	613.72	685.89	4.03	4.81	0.0	0.0	0.65	-6.38	1299.6100000000001	17:41:26.62
