Time	FlowIn	Tout	Hout	Tamb	Hamb	Hin	CryoL	Ta	Tb	Tc	Td	I1	I3
1686064313.8722856	-1.350	24.900	34.200	24.900	36.400	38.865	0.000	21.981	22.233	22.521	22.993	0.080	0.610
1686064314.8622286	-1.170	24.900	34.200	24.900	36.400	38.675	0.000	21.980	22.232	22.521	22.993	0.080	0.610
1686064315.8621979	-1.350	24.900	34.300	24.900	36.400	39.245	0.000	21.981	22.232	22.522	22.993	0.080	0.610
1686064316.8621569	-0.990	24.900	34.300	24.900	36.400	39.055	0.000	21.981	22.232	22.521	22.993	0.080	0.610
1686064317.8621614	-0.990	24.900	34.200	24.900	36.400	39.055	0.000	21.981	22.232	22.521	22.993	0.080	0.610
1686064318.8721304	-1.170	24.900	34.200	24.900	36.400	38.865	0.000	21.981	22.232	22.521	22.992	0.080	0.610
1686064319.8620982	-1.350	24.900	34.200	24.900	36.300	39.245	0.000	21.981	22.233	22.521	22.993	0.080	0.610
1686064320.8720675	-1.540	24.900	34.200	24.900	36.300	39.055	0.000	21.981	22.231	22.523	22.993	0.080	0.610
1686064321.8720362	-1.170	24.900	34.200	24.900	36.300	39.055	0.000	21.981	22.233	22.522	22.993	0.080	0.610
1686064322.8620048	-1.170	24.900	34.200	24.900	36.300	38.865	0.000	21.981	22.233	22.522	22.993	0.080	0.610
1686064323.861975	-0.990	24.900	34.200	24.900	36.200	39.435	0.000	21.981	22.232	22.522	22.993	0.080	0.610
1686064324.8619423	-1.170	24.900	34.200	24.900	36.200	39.055	0.000	21.981	22.232	22.522	22.993	0.080	0.610
1686064325.8619123	-1.540	24.900	34.100	24.900	36.200	39.435	0.000	21.981	22.233	22.522	22.993	0.080	0.610
1686064326.8618803	-1.170	24.900	34.100	24.900	36.200	38.865	0.000	21.981	22.233	22.522	22.993	0.080	0.610
1686064327.8618503	-1.350	25.000	34.100	24.900	36.100	39.245	0.000	21.981	22.233	22.522	22.994	0.080	0.610
1686064328.861818	-1.350	25.000	34.100	24.900	36.100	38.865	0.000	21.981	22.233	22.522	22.993	0.080	0.610
1686064329.871784	-1.170	24.900	34.000	24.900	36.100	39.245	0.000	21.981	22.233	22.522	22.993	0.080	0.610
1686064330.8617313	-0.810	24.900	34.000	24.900	36.100	39.055	0.000	21.981	22.234	22.522	22.994	0.080	0.610
1686064331.871725	-0.620	25.000	34.000	24.900	36.100	39.245	0.000	21.981	22.232	22.522	22.994	0.080	0.610
1686064332.8616936	-0.810	25.000	34.000	24.900	36.100	39.055	0.000	21.982	22.234	22.522	22.994	0.080	0.610
1686064333.861663	-0.990	24.900	34.000	24.900	36.200	39.245	0.000	21.981	22.233	22.523	22.995	0.080	0.610
1686064334.8616319	-1.350	24.900	34.000	24.900	36.200	38.865	0.000	21.982	22.234	22.523	22.994	0.080	0.610
1686064335.8716	-1.350	25.000	34.000	24.900	36.100	39.435	0.000	21.982	22.234	22.523	22.995	0.080	0.610
1686064336.86157	-1.350	25.000	34.000	24.900	36.100	38.865	0.000	21.982	22.233	22.522	22.994	0.080	0.610
1686064337.8715377	-1.170	24.900	34.000	24.900	36.100	39.055	0.000	21.982	22.233	22.523	22.994	0.080	0.610
1686064338.8615067	-0.260	24.900	34.000	24.900	36.100	39.055	0.000	21.982	22.233	22.523	22.994	0.080	0.610
1686064339.8614762	-1.350	24.900	34.000	24.900	36.100	39.245	0.000	21.982	22.233	22.523	22.994	0.080	0.610
1686064340.8614447	-0.990	24.900	34.000	24.900	36.100	39.055	0.000	21.982	22.233	22.523	22.994	0.080	0.610
1686064341.8714135	-1.170	24.900	34.000	24.900	36.000	39.435	0.000	21.981	22.233	22.523	22.994	0.080	0.610
1686064342.8613837	-0.070	24.900	34.000	24.900	36.000	39.245	0.000	21.982	22.233	22.523	22.995	0.080	0.610
1686064343.861351	-1.170	24.900	33.900	24.900	35.900	39.055	0.000	21.982	22.234	22.523	22.994	0.080	0.610
1686064344.8613203	-0.990	24.900	33.900	24.900	35.900	39.245	0.000	21.982	22.234	22.524	22.995	0.080	0.610
1686064345.8612893	-1.170	24.900	34.000	24.900	35.900	39.245	0.000	21.982	22.235	22.523	22.995	0.080	0.610
1686064346.8612587	-1.170	24.900	34.000	24.900	35.900	39.245	0.000	21.982	22.234	22.523	22.995	0.080	0.610
1686064347.8612273	-1.170	24.900	33.900	24.900	35.800	39.055	0.000	21.982	22.233	22.524	22.995	0.080	0.610
1686064348.8611996	-1.170	24.900	33.900	24.900	35.800	38.865	0.000	21.982	22.233	22.522	22.995	0.080	0.610
1686064349.8611648	-1.350	24.900	33.900	24.900	35.800	39.245	0.000	21.982	22.234	22.523	22.994	0.080	0.610
1686064350.8611343	-1.350	24.900	33.900	24.900	35.800	39.055	0.000	21.983	22.234	22.523	22.995	0.080	0.610
1686064351.861103	-0.990	24.900	34.000	24.900	35.800	39.626	0.000	21.983	22.235	22.524	22.996	0.080	0.010
1686064352.8610399	-1.350	24.900	34.000	24.900	35.800	39.055	0.000	21.983	22.234	22.523	22.995	0.080	0.010
1686064353.861041	-0.440	25.000	33.900	24.900	35.700	39.245	0.000	21.983	22.234	22.524	22.996	0.080	0.010
1686064354.8610094	-0.260	25.000	33.900	24.900	35.700	39.055	0.000	21.982	22.234	22.524	22.996	0.080	0.010
1686064355.8709788	-0.990	24.900	33.900	24.900	35.800	39.245	0.000	21.982	22.234	22.524	22.996	0.080	0.010
