LinuxTime	Length2	Length4	Tension2	Tension4	TargetLength2	TargetLength4	ErrLength2	ErrLength4	LengthTot	DayTime
1689599641.8945324	452.91	844.39	23.26	6.55	0.0	0.0	-0.37	-0.8	1297.3	15:14:01.88
1689599642.897784	452.91	844.37	22.73	6.01	0.0	0.0	-0.37	0.43	1297.28	15:14:02.88
1689599644.058728	452.91	844.38	23.53	6.15	0.0	0.0	-0.37	0.12	1297.29	15:14:04.04
1689599645.0604103	452.91	844.37	22.73	6.01	0.0	0.0	-0.37	0.43	1297.28	15:14:05.04
1689599648.34105	452.91	844.38	23.26	6.42	0.0	0.0	-0.37	-0.49	1297.29	15:14:08.33
1689599649.346302	452.91	844.38	23.26	6.28	0.0	0.0	-0.37	-0.19	1297.29	15:14:09.33
1689599651.5463655	452.9	844.38	22.59	6.28	0.0	0.0	-0.37	-0.19	1297.28	15:14:11.53
1689599652.5512395	452.91	844.38	23.53	6.15	0.0	0.0	-0.37	0.12	1297.29	15:14:12.53
1689599654.741876	452.9	844.38	22.59	6.28	0.0	0.0	-0.37	-0.19	1297.28	15:14:14.72
1689599655.7533317	452.91	844.39	23.66	6.55	0.0	0.0	-0.37	-0.8	1297.3	15:14:15.74
1689599656.954955	452.91	844.38	23.53	6.15	0.0	0.0	-0.37	0.12	1297.29	15:14:16.94
1689599657.9594057	452.91	844.38	22.86	6.15	0.0	0.0	-0.37	0.12	1297.29	15:14:17.94
1689599658.964513	452.91	844.37	23.13	5.88	0.0	0.0	-0.37	0.73	1297.28	15:14:18.94
1689599661.1664596	452.91	844.38	23.26	6.15	0.0	0.0	-0.37	0.12	1297.29	15:14:21.15
1689599662.1725018	452.91	844.37	23.0	6.01	0.0	0.0	-0.37	0.43	1297.28	15:14:22.15
1689599663.3774023	452.91	844.37	23.26	5.88	0.0	0.0	-0.37	0.73	1297.28	15:14:23.35
1689599664.3899534	452.91	844.37	22.73	5.88	0.0	0.0	-0.37	0.73	1297.28	15:14:24.37
1689599665.3946922	452.91	844.38	23.4	6.15	0.0	0.0	-0.37	0.12	1297.29	15:14:25.38
1689599666.5934289	452.91	844.4	23.26	6.95	0.0	0.0	-0.37	-1.72	1297.31	15:14:26.58
1689599670.8033895	452.91	844.38	23.4	6.28	0.0	0.0	-0.37	-0.19	1297.29	15:14:30.78
1689599671.807328	452.91	844.37	23.0	6.01	0.0	0.0	-0.37	0.43	1297.28	15:14:31.79
1689599673.0015323	452.9	844.38	22.59	6.15	0.0	0.0	-0.37	0.12	1297.28	15:14:32.99
1689599674.0057273	452.91	844.39	23.4	6.55	0.0	0.0	-0.37	-0.8	1297.3	15:14:33.99
1689599675.0108404	452.91	844.4	23.53	6.95	0.0	0.0	-0.37	-1.72	1297.31	15:14:34.99
1689599676.208333	452.92	844.37	24.06	5.75	0.0	0.0	-0.37	1.04	1297.29	15:14:36.19
1689599677.2131333	452.91	844.37	23.53	6.01	0.0	0.0	-0.37	0.43	1297.28	15:14:37.19
1689599678.2181897	452.91	844.38	23.53	6.42	0.0	0.0	-0.37	-0.49	1297.29	15:14:38.20
1689599679.4328895	452.91	844.37	23.53	5.88	0.0	0.0	-0.37	0.73	1297.28	15:14:39.42
1689599680.436634	452.91	844.38	23.26	6.15	0.0	0.0	-0.37	0.12	1297.29	15:14:40.42
1689599681.4410326	452.91	844.37	23.53	5.61	0.0	0.0	-0.37	1.35	1297.28	15:14:41.42
1689599683.6500475	452.91	844.37	22.86	5.88	0.0	0.0	-0.37	0.73	1297.28	15:14:43.62
1689599684.6606858	452.91	844.37	22.73	5.75	0.0	0.0	-0.37	1.04	1297.28	15:14:44.65
1689599686.8720098	452.9	844.38	22.59	6.28	0.0	0.0	-0.37	-0.19	1297.28	15:14:46.85
1689599687.8770478	452.91	844.37	23.53	5.75	0.0	0.0	-0.37	1.04	1297.28	15:14:47.85
1689599689.0911596	452.91	844.37	23.66	5.88	0.0	0.0	-0.37	0.73	1297.28	15:14:49.07
1689599691.0986621	452.91	844.37	23.4	6.01	0.0	0.0	-0.37	0.43	1297.28	15:14:51.08
1689599692.3127146	452.91	844.37	23.53	5.75	0.0	0.0	-0.37	1.04	1297.28	15:14:52.30
1689599693.3177993	452.92	844.38	23.93	6.42	0.0	0.0	-0.37	-0.49	1297.3	15:14:53.30
1689599694.3228865	452.91	844.38	23.8	6.15	0.0	0.0	-0.37	0.12	1297.29	15:14:54.30
1689599695.518023	452.92	844.37	24.06	6.01	0.0	0.0	-0.37	0.43	1297.29	15:14:55.50
1689599697.5250397	452.91	844.38	23.4	6.15	0.0	0.0	-0.37	0.12	1297.29	15:14:57.51
1689599698.725662	452.91	844.38	22.86	6.15	0.0	0.0	-0.37	0.12	1297.29	15:14:58.71
1689599699.730458	452.92	844.38	24.06	6.28	0.0	0.0	-0.37	-0.19	1297.3	15:14:59.71
1689599700.7356122	452.91	844.37	23.26	5.88	0.0	0.0	-0.37	0.73	1297.28	15:15:00.71
1689599702.9529974	452.91	844.37	23.4	6.01	0.0	0.0	-0.37	0.43	1297.28	15:15:02.94
1689599703.9580257	452.92	844.37	24.06	5.75	0.0	0.0	-0.37	1.04	1297.29	15:15:03.94
1689599707.1689732	452.91	844.37	23.26	5.88	0.0	0.0	-0.37	0.73	1297.28	15:15:07.14
1689599708.3810189	452.9	844.37	22.59	6.01	0.0	0.0	-0.37	0.43	1297.27	15:15:08.37
1689599709.3849907	452.91	844.39	23.13	6.68	0.0	0.0	-0.37	-1.11	1297.3	15:15:09.37
1689599710.3862956	452.91	844.38	23.4	6.15	0.0	0.0	-0.37	0.12	1297.29	15:15:10.37
1689599711.5927644	452.92	844.4	23.93	6.95	0.0	0.0	-0.37	-1.72	1297.32	15:15:11.57
1689599712.5962424	452.92	844.39	23.93	6.82	0.0	0.0	-0.37	-1.41	1297.31	15:15:12.57
1689599713.6081383	452.92	844.37	23.93	6.01	0.0	0.0	-0.37	0.43	1297.29	15:15:13.59
1689599714.8159473	452.91	844.37	23.8	6.01	0.0	0.0	-0.37	0.43	1297.28	15:15:14.80
1689599715.8192043	452.91	844.38	23.8	6.28	0.0	0.0	-0.37	-0.19	1297.29	15:15:15.80
1689599719.0399399	452.91	844.36	23.26	5.35	0.0	0.0	-0.37	1.96	1297.27	15:15:19.02
1689599720.0447776	452.9	844.38	22.59	6.42	0.0	0.0	-0.37	-0.49	1297.28	15:15:20.02
1689599721.2598896	452.9	844.38	22.59	6.15	0.0	0.0	-0.37	0.12	1297.28	15:15:21.25
1689599722.2637403	452.9	844.37	22.59	6.01	0.0	0.0	-0.37	0.43	1297.27	15:15:22.25
1689599723.2690039	452.91	844.39	23.4	6.82	0.0	0.0	-0.37	-1.41	1297.3	15:15:23.25
1689599724.4763758	452.91	844.36	23.53	5.48	0.0	0.0	-0.37	1.65	1297.27	15:15:24.45
1689599725.4806094	452.91	844.38	23.4	6.15	0.0	0.0	-0.37	0.12	1297.29	15:15:25.45
1689599726.490616	452.91	844.36	23.53	5.48	0.0	0.0	-0.37	1.65	1297.27	15:15:26.48
1689599727.7123306	452.91	844.37	23.53	5.75	0.0	0.0	-0.37	1.04	1297.28	15:15:27.70
1689599729.7194643	452.91	844.37	23.8	5.75	0.0	0.0	-0.37	1.04	1297.28	15:15:29.70
1689599730.9273758	452.91	844.37	23.4	6.01	0.0	0.0	-0.37	0.43	1297.28	15:15:30.90
1689599731.9301305	452.91	844.37	23.0	5.75	0.0	0.0	-0.37	1.04	1297.28	15:15:31.91
1689599732.9408832	452.92	844.37	23.93	6.01	0.0	0.0	-0.37	0.43	1297.29	15:15:32.93
1689599734.148974	452.91	844.39	23.26	6.82	0.0	0.0	-0.37	-1.41	1297.3	15:15:34.13
1689599735.154521	452.92	844.38	24.06	6.28	0.0	0.0	-0.37	-0.19	1297.3	15:15:35.13
1689599736.1666605	452.91	844.38	22.73	6.15	0.0	0.0	-0.37	0.12	1297.29	15:15:36.15
1689599737.3777754	452.91	844.37	23.26	5.88	0.0	0.0	-0.37	0.73	1297.28	15:15:37.35
1689599739.393958	452.91	844.37	23.53	5.75	0.0	0.0	-0.37	1.04	1297.28	15:15:39.38
1689599740.6132183	452.91	844.37	23.8	6.01	0.0	0.0	-0.37	0.43	1297.28	15:15:40.60
1689599741.6183405	452.91	844.37	23.4	5.88	0.0	0.0	-0.37	0.73	1297.28	15:15:41.60
1689599742.623233	452.92	844.38	24.06	6.15	0.0	0.0	-0.37	0.12	1297.3	15:15:42.60
1689599744.8427696	452.91	844.39	23.66	6.55	0.0	0.0	-0.37	-0.8	1297.3	15:15:44.83
1689599745.8480668	452.91	844.37	23.26	6.01	0.0	0.0	-0.37	0.43	1297.28	15:15:45.83
1689599747.0651178	452.91	844.38	23.53	6.15	0.0	0.0	-0.37	0.12	1297.29	15:15:47.05
1689599748.0698347	452.91	844.38	23.0	6.15	0.0	0.0	-0.37	0.12	1297.29	15:15:48.05
1689599749.0744033	452.91	844.37	23.53	6.01	0.0	0.0	-0.37	0.43	1297.28	15:15:49.05
1689599750.3104808	452.91	844.37	23.13	6.01	0.0	0.0	-0.37	0.43	1297.28	15:15:50.30
1689599751.314836	452.91	844.38	22.73	6.15	0.0	0.0	-0.37	0.12	1297.29	15:15:51.30
1689599752.3199003	452.91	844.39	23.53	6.82	0.0	0.0	-0.37	-1.41	1297.3	15:15:52.30
1689599753.5399554	452.91	844.37	23.26	5.75	0.0	0.0	-0.37	1.04	1297.28	15:15:53.52
1689599754.5443234	452.91	844.37	22.73	6.01	0.0	0.0	-0.37	0.43	1297.28	15:15:54.52
1689599755.549092	452.9	844.37	22.59	5.88	0.0	0.0	-0.37	0.73	1297.27	15:15:55.52
1689599756.7667043	452.91	844.38	23.66	6.15	0.0	0.0	-0.37	0.12	1297.29	15:15:56.75
1689599757.7708428	452.91	844.37	23.4	6.01	0.0	0.0	-0.37	0.43	1297.28	15:15:57.75
1689599758.7757149	452.91	844.36	23.26	5.35	0.0	0.0	-0.37	1.96	1297.27	15:15:58.75
1689599760.9993427	452.91	844.37	23.26	5.75	0.0	0.0	-0.37	1.04	1297.28	15:16:00.97
1689599762.0113766	452.91	844.38	22.73	6.15	0.0	0.0	-0.37	0.12	1297.29	15:16:02.00
1689599763.2308426	452.91	844.36	23.4	5.35	0.0	0.0	-0.37	1.96	1297.27	15:16:03.22
1689599765.2381482	452.91	844.39	23.0	6.68	0.0	0.0	-0.37	-1.11	1297.3	15:16:05.22
1689599767.4447086	452.91	844.36	22.86	5.35	0.0	0.0	-0.37	1.96	1297.27	15:16:07.42
1689599768.4495401	452.91	844.38	22.73	6.28	0.0	0.0	-0.37	-0.19	1297.29	15:16:08.43
1689599769.6614344	452.91	844.36	23.4	5.48	0.0	0.0	-0.37	1.65	1297.27	15:16:09.65
1689599770.6669488	452.91	844.37	23.53	5.75	0.0	0.0	-0.37	1.04	1297.28	15:16:10.65
1689599771.6707673	452.91	844.37	23.8	5.88	0.0	0.0	-0.37	0.73	1297.28	15:16:11.65
1689599772.8865106	452.91	844.36	23.26	5.35	0.0	0.0	-0.37	1.96	1297.27	15:16:12.87
1689599773.8902392	452.91	844.36	23.53	5.35	0.0	0.0	-0.37	1.96	1297.27	15:16:13.87
1689599774.8948421	452.91	844.37	23.53	6.01	0.0	0.0	-0.37	0.43	1297.28	15:16:14.88
1689599777.0959392	452.91	844.38	22.73	6.15	0.0	0.0	-0.37	0.12	1297.29	15:16:17.08
