LinuxTime	Length1	Length3	Tension1	Tension3	ErrLength1	ErrLength3	LengthTot	DayTime
1685097197.6231573	1294.94	49.1	105.69	-0.99	-26.0	17.94	1344.04	12:33:17.60
1685097198.6272483	1294.94	49.1	105.69	-0.99	-26.0	17.94	1344.04	12:33:18.62
1685097199.9787	1294.94	49.1	105.69	-0.99	-26.0	17.94	1344.04	12:33:19.96
1685097200.9821432	1294.94	49.1	105.69	-0.99	-26.0	17.94	1344.04	12:33:20.96
1685097201.987058	1294.94	49.1	105.69	-0.99	-26.0	17.94	1344.04	12:33:21.97
1685097203.2236826	1294.94	49.1	105.69	-0.99	-26.0	17.94	1344.04	12:33:23.21
1685097204.228072	1294.94	49.1	105.69	-0.99	-26.0	17.94	1344.04	12:33:24.21
1685097205.2337449	1294.94	49.1	105.69	-0.99	-26.0	17.94	1344.04	12:33:25.21
