LinuxTime	Length1	Length3	Tension1	Tension3	ErrLength1	ErrLength3	LengthTot	DayTime
1685432133.623451	1285.48	64.29	11.4	9.17	2.28	0.04	1349.77	09:35:33.61
1685432134.628574	1285.47	64.29	11.08	9.17	2.98	0.04	1349.76	09:35:34.61
1685432136.9999352	1285.48	64.29	11.4	9.17	2.28	0.04	1349.77	09:35:36.97
1685432138.0112398	1285.48	64.29	11.4	9.17	2.27	0.04	1349.77	09:35:38.00
1685432140.26433	1285.48	64.29	11.4	9.17	2.27	0.04	1349.77	09:35:40.24
1685432141.2760463	1285.48	64.29	11.4	9.17	2.27	0.04	1349.77	09:35:41.26
1685432142.6375804	1285.48	64.29	11.4	9.17	2.27	0.04	1349.77	09:35:42.62
1685432144.644845	1285.48	64.29	11.4	9.04	2.27	0.39	1349.77	09:35:44.63
1685432146.9094164	1285.48	64.29	11.4	9.17	2.27	0.04	1349.77	09:35:46.89
1685432147.9142268	1285.48	64.29	11.4	9.17	2.27	0.04	1349.77	09:35:47.89
1685432149.187961	1285.48	64.29	11.4	9.17	2.27	0.04	1349.77	09:35:49.17
1685432150.1923327	1285.48	64.29	11.4	9.17	2.27	0.04	1349.77	09:35:50.18
1685432151.1963246	1285.48	64.29	11.4	9.17	2.27	0.04	1349.77	09:35:51.18
1685432153.4616163	1285.49	64.29	12.04	9.17	0.86	0.04	1349.78	09:35:53.44
1685432154.4652038	1285.48	64.29	11.4	9.17	2.27	0.04	1349.77	09:35:54.44
1685432155.7031062	1285.48	64.29	11.72	9.17	1.57	0.04	1349.77	09:35:55.68
1685432156.7081287	1285.48	64.29	11.4	9.17	2.27	0.04	1349.77	09:35:56.69
1685432159.934174	1285.48	64.29	11.4	9.29	2.27	-0.31	1349.77	09:35:59.91
1685432160.9465494	1285.48	64.29	11.4	9.17	2.27	0.04	1349.77	09:36:00.93
1685432162.1498342	1285.48	64.29	11.4	8.92	2.27	0.75	1349.77	09:36:02.14
1685432163.15449	1285.48	64.29	11.4	9.17	2.27	0.04	1349.77	09:36:03.14
1685432164.1585834	1285.48	64.29	11.4	9.17	2.27	0.04	1349.77	09:36:04.14
1685432165.3544302	1285.49	64.29	12.04	9.17	0.86	0.04	1349.78	09:36:05.34
1685432166.3607192	1275.48	74.52	11.4	9.17	2.34	-0.03	1350.0	09:36:06.34
1685432167.366045	1275.48	74.52	11.4	8.55	3.33	-0.4	1350.0	09:36:07.34
1685432169.568164	1275.48	74.52	12.68	6.94	5.26	-1.93	1350.0	09:36:09.55
1685432172.7776783	1275.48	74.52	15.22	5.45	6.84	-2.46	1350.0	09:36:12.75
1685432173.7920563	1275.48	74.52	38.16	4.96	-0.46	-1.92	1350.0	09:36:13.78
1685432175.0578756	1275.48	74.52	77.02	4.83	0.32	-0.64	1350.0	09:36:15.04
1685432177.0650394	1275.48	74.52	82.12	5.95	0.4	-1.93	1350.0	09:36:17.04
1685432178.4223475	1275.48	74.52	84.35	5.95	0.42	-1.07	1350.0	09:36:18.40
1685432179.4277396	1275.48	74.52	76.07	5.95	0.34	-1.2	1350.0	09:36:19.40
1685432180.4315503	1275.22	75.21	73.2	5.7	0.29	-1.03	1350.43	09:36:20.41
1685432184.9087768	1275.22	75.21	72.88	5.7	0.29	-1.03	1350.43	09:36:24.89
1685432186.9149861	1275.22	75.21	73.2	5.7	0.29	-1.03	1350.43	09:36:26.90
1685432188.1236954	1275.22	75.21	72.88	5.7	0.29	-1.03	1350.43	09:36:28.10
1685432189.1281571	1275.22	75.21	72.88	5.7	0.29	-1.03	1350.43	09:36:29.10
1685432190.1403987	1275.22	75.21	72.88	5.7	0.29	-1.03	1350.43	09:36:30.12
1685432191.3273935	1275.21	75.21	72.56	5.7	0.29	-1.03	1350.42	09:36:31.31
1685432192.3321052	1275.22	75.21	72.88	5.7	0.29	-1.03	1350.43	09:36:32.31
1685432193.3443646	1275.21	75.21	72.56	5.7	0.29	-1.03	1350.42	09:36:33.33
1685432194.5640647	1275.22	75.21	72.88	5.7	0.29	-1.03	1350.43	09:36:34.55
1685432195.5690887	1275.21	75.21	72.56	5.7	0.29	-1.03	1350.42	09:36:35.55
1685432196.573981	1275.21	75.21	72.56	5.7	0.29	-1.03	1350.42	09:36:36.55
1685432197.7925982	1275.21	75.21	72.56	5.7	0.29	-1.03	1350.42	09:36:37.78
1685432198.7970726	1275.21	75.21	72.56	5.57	0.29	-0.67	1350.42	09:36:38.78
1685432199.801987	1275.21	75.21	72.56	5.7	0.29	-1.03	1350.42	09:36:39.78
1685432201.0357149	1275.21	75.21	72.56	5.7	0.29	-1.03	1350.42	09:36:41.02
