LinuxTime	Length2	Length4	Tension2	Tension4	TargetLength2	TargetLength4	ErrLength2	ErrLength4	LengthTot	DayTime
1688400465.7108397	452.92	842.6	20.06	5.61	0.0	0.0	-0.38	-1.15	1295.52	18:07:45.69
1688400466.7140794	452.92	842.65	20.32	6.55	0.0	0.0	-0.96	-3.27	1295.57	18:07:46.69
1688400467.717073	452.93	842.63	20.86	5.88	0.0	0.0	-1.12	-1.73	1295.56	18:07:47.69
1688400468.7283661	452.92	842.64	20.46	6.15	0.0	0.0	-1.12	-2.35	1295.56	18:07:48.71
1688400471.8769524	452.92	842.63	19.79	5.88	0.0	0.0	0.21	-1.73	1295.55	18:07:51.86
1688400473.1333764	452.92	842.63	20.32	5.88	0.0	0.0	-0.96	-1.73	1295.55	18:07:53.12
1688400474.1383724	452.92	842.63	20.32	5.88	0.0	0.0	-0.96	-1.73	1295.55	18:07:54.12
1688400475.1435485	452.91	842.66	19.39	6.95	0.0	0.0	1.08	-4.19	1295.57	18:07:55.12
1688400476.3583014	452.92	842.64	20.73	6.42	0.0	0.0	-1.12	-2.96	1295.56	18:07:56.35
1688400477.3612297	452.92	842.63	19.79	5.88	0.0	0.0	0.21	-1.73	1295.55	18:07:57.35
1688400478.3655155	452.92	842.63	20.19	5.88	0.0	0.0	-0.67	-1.73	1295.55	18:07:58.35
1688400479.5643673	452.91	842.66	19.26	6.95	0.0	0.0	1.38	-4.19	1295.57	18:07:59.55
1688400480.5672665	452.92	842.64	20.19	6.15	0.0	0.0	-0.67	-2.35	1295.56	18:08:00.55
1688400481.5727773	452.91	842.64	19.39	6.15	0.0	0.0	1.08	-2.35	1295.55	18:08:01.55
1688400483.7949035	452.92	842.63	20.19	5.75	0.0	0.0	-0.67	-1.43	1295.55	18:08:03.78
1688400484.8001788	452.92	842.62	20.06	5.35	0.0	0.0	-0.38	-0.51	1295.54	18:08:04.78
1688400485.998677	452.92	842.65	20.06	6.55	0.0	0.0	-0.38	-3.27	1295.57	18:08:05.98
1688400487.0026398	452.92	842.64	20.19	6.15	0.0	0.0	-0.67	-2.35	1295.56	18:08:06.98
1688400488.0083215	452.92	842.64	20.32	6.28	0.0	0.0	-0.96	-2.65	1295.56	18:08:07.99
1688400490.2250905	452.92	842.63	20.06	5.75	0.0	0.0	-0.38	-1.43	1295.55	18:08:10.21
1688400491.2303758	452.92	842.63	20.19	5.61	0.0	0.0	-0.67	-1.12	1295.55	18:08:11.21
1688400492.426292	452.92	842.64	20.32	6.28	0.0	0.0	-0.96	-2.65	1295.56	18:08:12.41
1688400493.4304078	452.92	842.62	20.32	5.48	0.0	0.0	-0.96	-0.81	1295.54	18:08:13.41
1688400494.4347088	452.93	842.64	20.86	6.01	0.0	0.0	-1.12	-2.04	1295.57	18:08:14.42
1688400496.6362796	452.91	842.64	19.39	6.15	0.0	0.0	1.08	-2.35	1295.55	18:08:16.62
1688400498.8366606	452.92	842.64	20.19	6.15	0.0	0.0	-0.67	-2.35	1295.56	18:08:18.82
1688400499.8417513	452.92	842.64	20.19	6.01	0.0	0.0	-0.67	-2.04	1295.56	18:08:19.83
1688400500.8475227	452.92	842.64	20.19	6.28	0.0	0.0	-0.67	-2.65	1295.56	18:08:20.83
1688400503.0490663	452.92	842.66	20.06	6.95	0.0	0.0	-0.38	-4.19	1295.58	18:08:23.03
1688400504.0542874	452.92	842.64	20.32	6.28	0.0	0.0	-0.96	-2.65	1295.56	18:08:24.03
1688400506.2722907	452.91	842.63	19.52	5.88	0.0	0.0	0.79	-1.73	1295.54	18:08:26.26
1688400507.2763422	452.92	842.66	20.06	6.95	0.0	0.0	-0.38	-4.19	1295.58	18:08:27.26
1688400508.4839993	452.93	842.65	20.86	6.82	0.0	0.0	-1.12	-3.88	1295.58	18:08:28.46
1688400509.496359	452.92	842.62	20.19	5.35	0.0	0.0	-0.67	-0.51	1295.54	18:08:29.48
1688400510.5014377	452.92	842.63	20.32	5.75	0.0	0.0	-0.96	-1.43	1295.55	18:08:30.48
1688400512.7121696	452.92	842.63	20.06	5.88	0.0	0.0	-0.38	-1.73	1295.55	18:08:32.69
1688400513.7245522	452.92	842.64	20.59	6.42	0.0	0.0	-1.12	-2.96	1295.56	18:08:33.71
1688400515.9341402	452.92	842.65	20.32	6.68	0.0	0.0	-0.96	-3.57	1295.57	18:08:35.91
1688400516.939129	452.91	842.64	19.52	6.15	0.0	0.0	0.79	-2.35	1295.55	18:08:36.92
1688400518.1514008	452.92	842.64	19.66	6.15	0.0	0.0	0.5	-2.35	1295.56	18:08:38.14
1688400519.1551127	452.92	842.62	20.32	5.48	0.0	0.0	-0.96	-0.81	1295.54	18:08:39.14
1688400520.1586952	452.92	842.63	20.46	5.61	0.0	0.0	-1.12	-1.12	1295.55	18:08:40.14
1688400522.3588362	452.92	842.62	20.19	5.48	0.0	0.0	-0.67	-0.81	1295.54	18:08:42.34
1688400523.3636618	452.92	842.64	20.32	6.28	0.0	0.0	-0.96	-2.65	1295.56	18:08:43.35
1688400524.5617836	452.93	842.63	20.86	5.88	0.0	0.0	-1.12	-1.73	1295.56	18:08:44.55
1688400525.566631	452.92	842.63	20.32	5.75	0.0	0.0	-0.96	-1.43	1295.55	18:08:45.55
1688400527.7867587	452.92	842.64	20.73	6.28	0.0	0.0	-1.12	-2.65	1295.56	18:08:47.77
1688400528.7914045	452.93	842.62	20.86	5.48	0.0	0.0	-1.12	-0.81	1295.55	18:08:48.78
1688400529.796589	452.92	842.63	19.79	5.88	0.0	0.0	0.21	-1.73	1295.55	18:08:49.78
1688400530.9927673	452.92	842.65	19.92	6.55	0.0	0.0	-0.08	-3.27	1295.57	18:08:50.98
1688400531.9976127	452.93	842.63	20.86	5.61	0.0	0.0	-1.12	-1.12	1295.56	18:08:51.98
