LinuxTime	Length2	Length4	Tension2	Tension4	TargetLength2	TargetLength4	ErrLength2	ErrLength4	LengthTot	DayTime
1687024776.9324555	613.77	685.9	4.97	5.08	0.0	0.0	-1.36	-7.06	1299.67	19:59:36.92
1687024777.9369333	613.75	685.89	4.17	4.95	0.0	0.0	0.39	-6.75	1299.6399999999999	19:59:37.92
1687024782.0897744	613.75	685.89	4.03	4.81	0.0	0.0	0.68	-6.44	1299.6399999999999	19:59:42.07
1687024783.1015546	613.76	685.9	4.57	5.48	0.0	0.0	-0.48	-7.98	1299.6599999999999	19:59:43.09
1687024784.3841004	613.76	685.89	4.7	4.68	0.0	0.0	-0.78	-6.14	1299.65	19:59:44.37
1687024785.3879716	613.77	685.89	4.97	4.68	0.0	0.0	-1.36	-6.14	1299.6599999999999	19:59:45.37
1687024786.3923595	613.76	685.88	4.7	4.54	0.0	0.0	-0.78	-5.83	1299.6399999999999	19:59:46.37
1687024787.6077547	613.76	685.91	4.43	5.61	0.0	0.0	-0.19	-8.28	1299.67	19:59:47.59
1687024790.9904354	655.89	667.06	-1.17	-20.32	0.0	0.0	50.47	-15.12	1322.9499999999998	19:59:50.97
1687024791.99548	655.89	667.06	-1.17	-20.32	0.0	0.0	50.47	-15.12	1322.9499999999998	19:59:51.97
1687024792.9999835	655.89	667.06	-1.17	-20.32	0.0	0.0	50.47	-15.12	1322.9499999999998	19:59:52.98
1687024794.0037944	655.89	667.06	-1.17	-20.32	0.0	0.0	50.47	-15.12	1322.9499999999998	19:59:53.98
1687024796.0382261	613.63	685.89	3.9	4.95	0.0	0.0	0.86	-6.56	1299.52	19:59:56.02
1687024797.0425208	613.64	685.9	4.7	5.48	0.0	0.0	-0.9	-7.79	1299.54	19:59:57.02
1687024798.0469384	613.64	685.89	4.57	4.81	0.0	0.0	-0.6	-6.26	1299.53	19:59:58.03
1687024799.0506492	613.64	685.89	4.83	4.95	0.0	0.0	-1.19	-6.56	1299.53	19:59:59.03
1687024800.0555637	613.63	685.89	4.17	4.81	0.0	0.0	0.27	-6.26	1299.52	20:00:00.03
1687024801.066652	613.65	685.9	4.97	5.35	0.0	0.0	-1.48	-7.48	1299.55	20:00:01.05
1687024802.0709784	613.64	685.89	4.43	5.08	0.0	0.0	-0.31	-6.87	1299.53	20:00:02.05
1687024803.074264	613.58	685.88	1.9	4.54	608.64	691.36	5.36	-5.65	1299.46	20:00:03.06
1687024806.0826623	613.65	685.89	6.97	4.95	608.64	691.36	-0.22	-6.69	1299.54	20:00:06.06
1687024807.261908	613.66	685.89	7.91	5.08	608.64	691.36	0.4	-7.01	1299.55	20:00:07.24
1687024808.266823	613.68	685.9	8.97	5.48	608.64	691.36	0.32	-7.96	1299.58	20:00:08.24
1687024811.4732254	613.7	685.88	12.58	4.54	608.64	691.36	-0.37	-5.91	1299.58	20:00:11.45
1687024812.485955	613.72	685.88	13.91	4.54	608.64	691.36	-0.99	-5.93	1299.6	20:00:12.47
1687024814.6920562	613.62	685.97	16.05	4.54	608.64	691.36	-0.82	-6.03	1299.5900000000001	20:00:14.68
1687024815.6967795	613.21	686.41	17.12	5.21	608.64	691.36	-1.32	-7.4	1299.62	20:00:15.68
1687024817.9059663	611.02	688.59	18.19	5.48	608.64	691.36	-0.89	-7.3	1299.6100000000001	20:00:17.88
1687024818.9204686	609.91	689.74	18.86	5.88	608.64	691.36	-1.5	-8.0	1299.65	20:00:18.90
1687024820.1184573	608.61	691.0	18.99	5.35	0.0	0.0	-1.44	-6.49	1299.6100000000001	20:00:20.10
1687024821.123031	608.61	690.99	18.99	5.08	0.0	0.0	-1.44	-5.88	1299.6	20:00:21.11
1687024822.1277657	608.62	691.0	19.66	5.35	0.0	0.0	-2.9	-6.49	1299.62	20:00:22.11
1687024823.3278868	608.6	690.98	18.19	4.28	0.0	0.0	0.31	-4.04	1299.58	20:00:23.31
1687024825.3370001	608.62	691.0	19.26	5.61	613.6	686.4	-3.1	-6.56	1299.62	20:00:25.31
1687024826.5506577	608.59	691.02	17.25	6.42	613.6	686.4	-2.36	-6.21	1299.6100000000001	20:00:26.54
1687024827.5556166	608.57	691.03	15.12	6.95	613.6	686.4	-0.7	-5.18	1299.6	20:00:27.54
1687024828.5611262	608.55	691.05	13.65	8.15	613.6	686.4	-0.5	-5.69	1299.6	20:00:28.54
1687024830.7684014	608.54	691.08	10.44	10.02	613.6	686.4	-0.08	-5.01	1299.62	20:00:30.74
1687024831.7822824	608.52	691.04	8.84	9.62	613.6	686.4	0.36	-1.82	1299.56	20:00:31.77
1687024833.9706767	608.52	691.07	6.97	11.5	613.6	686.4	-1.79	-1.19	1299.5900000000001	20:00:33.95
1687024834.9760745	608.5	691.09	6.04	12.56	613.6	686.4	-1.56	-1.39	1299.5900000000001	20:00:34.95
1687024836.1773124	608.49	691.08	5.24	13.9	613.6	686.4	-1.14	-1.78	1299.5700000000002	20:00:36.15
1687024837.1915915	608.51	691.08	4.57	14.3	613.6	686.4	-0.44	-0.39	1299.5900000000001	20:00:37.17
1687024838.196777	608.52	691.1	5.37	15.24	613.6	686.4	-2.4	-0.29	1299.62	20:00:38.18
1687024840.3988266	613.2	686.41	5.5	14.57	0.0	0.0	0.25	0.35	1299.6100000000001	20:00:40.38
1687024841.4042048	613.2	686.39	5.24	13.63	0.0	0.0	0.83	2.49	1299.5900000000001	20:00:41.38
1687024842.60263	613.21	686.41	6.04	14.7	0.0	0.0	-0.92	0.04	1299.62	20:00:42.58
1687024843.605982	613.21	686.4	6.04	14.17	0.0	0.0	-0.92	1.27	1299.6100000000001	20:00:43.58
1687024844.6106367	613.21	686.4	5.77	14.3	0.0	0.0	-0.34	0.96	1299.6100000000001	20:00:44.59
1687024846.825479	613.21	686.41	5.9	14.57	0.0	0.0	-0.63	0.35	1299.62	20:00:46.81
1687024847.8304052	613.22	686.4	6.44	14.44	613.6	686.4	-1.83	0.6	1299.62	20:00:47.81
1687024849.0309794	614.3	685.33	6.04	13.1	613.6	686.4	-1.32	-0.03	1299.63	20:00:49.01
1687024850.0364969	614.29	685.31	5.37	11.9	613.6	686.4	-1.03	-0.29	1299.6	20:00:50.02
1687024851.0418842	614.29	685.3	5.24	10.96	613.6	686.4	-1.64	-1.15	1299.59	20:00:51.02
1687024853.258196	614.27	685.27	4.3	9.09	613.6	686.4	-0.18	-3.54	1299.54	20:00:53.24
1687024854.263493	614.27	685.23	4.3	7.08	613.6	686.4	-0.18	-1.96	1299.5	20:00:54.24
1687024855.4646256	614.28	685.26	4.57	7.08	613.6	686.4	-0.76	-5.16	1299.54	20:00:55.45
1687024857.47245	614.27	685.25	4.3	6.15	613.6	686.4	-0.18	-6.67	1299.52	20:00:57.45
1687024859.6904063	614.28	685.22	4.7	4.54	613.6	686.4	-1.06	-5.39	1299.5	20:00:59.67
1687024860.6955323	614.27	685.22	4.43	4.68	613.6	686.4	-0.47	-6.18	1299.49	20:01:00.67
1687024861.908758	614.27	685.2	4.43	3.88	0.0	0.0	-0.47	-4.38	1299.47	20:01:01.90
1687024862.9137623	614.28	685.23	4.57	4.95	0.0	0.0	-0.76	-6.83	1299.51	20:01:02.90
1687024863.9183638	614.28	685.21	4.97	4.41	0.0	0.0	-1.64	-5.61	1299.49	20:01:03.90
1687024866.1426437	614.27	685.23	4.03	4.95	0.0	0.0	0.4	-6.83	1299.5	20:01:06.12
1687024867.1480901	614.27	685.23	4.43	4.95	0.0	0.0	-0.47	-6.83	1299.5	20:01:07.12
1687024868.3639166	614.27	685.23	4.03	4.95	0.0	0.0	0.4	-6.83	1299.5	20:01:08.35
1687024869.3685865	614.27	685.23	4.03	5.08	0.0	0.0	0.4	-7.14	1299.5	20:01:09.35
1687024870.373616	614.27	685.24	4.43	5.61	0.0	0.0	-0.47	-8.37	1299.51	20:01:10.35
1687024872.591118	614.27	685.22	4.3	4.68	0.0	0.0	-0.18	-6.22	1299.49	20:01:12.57
1687024873.5944965	614.27	685.21	4.17	4.28	0.0	0.0	0.11	-5.3	1299.48	20:01:13.57
1687024874.8125465	614.26	685.23	3.9	4.95	0.0	0.0	0.7	-6.83	1299.49	20:01:14.80
1687024875.8172836	614.28	685.22	4.57	4.68	0.0	0.0	-0.76	-6.22	1299.5	20:01:15.80
1687024876.82277	614.26	685.21	3.9	4.41	0.0	0.0	0.7	-5.61	1299.47	20:01:16.80
1687024878.0367892	614.28	685.21	4.83	4.28	0.0	0.0	-1.35	-5.3	1299.49	20:01:18.02
1687024879.0416648	614.28	685.22	4.57	4.68	0.0	0.0	-0.76	-6.22	1299.5	20:01:19.02
1687024880.0464535	614.26	685.21	3.9	4.01	0.0	0.0	0.7	-4.69	1299.47	20:01:20.03
1687024881.2618306	614.27	685.24	4.03	5.48	0.0	0.0	0.4	-8.06	1299.51	20:01:21.25
1687024883.2702267	614.29	685.21	5.24	4.14	0.0	0.0	-2.22	-4.99	1299.5	20:01:23.25
1687024885.491321	614.27	685.23	4.43	5.08	0.0	0.0	-0.47	-7.14	1299.5	20:01:25.48
1687024886.4963164	614.26	685.21	3.77	4.01	0.0	0.0	0.99	-4.69	1299.47	20:01:26.48
1687024887.7235703	614.28	685.23	4.97	4.95	0.0	0.0	-1.64	-6.83	1299.51	20:01:27.70
1687024888.7353866	614.28	685.22	4.57	4.68	0.0	0.0	-0.76	-6.22	1299.5	20:01:28.72
1687024889.7391691	614.28	685.23	4.83	5.08	0.0	0.0	-1.35	-7.14	1299.51	20:01:29.72
1687024890.9494028	614.28	685.22	4.57	4.81	0.0	0.0	-0.76	-6.53	1299.5	20:01:30.92
1687024891.9611473	614.28	685.22	4.57	4.68	0.0	0.0	-0.76	-6.22	1299.5	20:01:31.95
1687024892.9643297	614.28	685.22	4.57	4.68	0.0	0.0	-0.76	-6.22	1299.5	20:01:32.95
1687024894.1835964	614.27	685.23	4.43	4.95	0.0	0.0	-0.47	-6.83	1299.5	20:01:34.17
1687024895.1884024	614.28	685.21	4.57	4.41	0.0	0.0	-0.76	-5.61	1299.49	20:01:35.17
1687024896.193597	614.27	685.24	4.03	5.48	0.0	0.0	0.4	-8.06	1299.51	20:01:36.17
