LinuxTime	Length2	Length4	Tension2	Tension4	TargetLength2	TargetLength4	ErrLength2	ErrLength4	LengthTot	DayTime
1687159553.5773232	614.28	685.23	4.57	5.21	0.0	0.0	-0.76	-7.45	1299.51	09:25:53.55
1687159554.5885117	614.28	685.23	5.1	5.35	0.0	0.0	-1.93	-7.75	1299.51	09:25:54.57
1687159556.7848895	614.26	685.21	3.9	4.14	0.0	0.0	0.7	-4.99	1299.47	09:25:56.76
1687159560.0831418	614.27	685.23	4.3	5.21	0.0	0.0	-0.18	-7.45	1299.5	09:26:00.07
1687159562.289596	614.28	685.22	4.97	4.54	0.0	0.0	-1.64	-5.91	1299.5	09:26:02.27
1687159563.2942483	614.27	685.23	4.17	5.35	0.0	0.0	0.11	-7.75	1299.5	09:26:03.27
1687159564.3065097	614.29	685.2	5.37	3.74	0.0	0.0	-2.52	-4.07	1299.49	09:26:04.29
1687159565.513702	614.28	685.21	4.57	4.28	0.0	0.0	-0.76	-5.3	1299.49	09:26:05.49
1687159566.5178173	614.27	685.21	4.43	4.41	0.0	0.0	-0.47	-5.61	1299.48	09:26:06.50
1687159567.5225751	614.29	685.23	5.24	5.08	0.0	0.0	-2.22	-7.14	1299.52	09:26:07.50
1687159569.7377098	614.28	685.21	4.7	4.14	0.0	0.0	-1.06	-4.99	1299.49	09:26:09.72
1687159570.7430515	614.27	685.21	4.43	4.14	0.0	0.0	-0.47	-4.99	1299.48	09:26:10.72
1687159571.9433606	614.26	685.22	3.9	4.81	0.0	0.0	0.7	-6.53	1299.48	09:26:11.92
1687159572.9484777	614.28	685.24	4.83	5.48	0.0	0.0	-1.35	-8.06	1299.52	09:26:12.93
1687159573.9524925	614.27	685.22	4.17	4.54	0.0	0.0	0.11	-5.91	1299.49	09:26:13.93
1687159575.1639059	614.28	685.21	4.57	4.28	0.0	0.0	-0.76	-5.3	1299.49	09:26:15.15
1687159577.1706014	614.27	685.2	4.43	3.61	0.0	0.0	-0.47	-3.77	1299.47	09:26:17.15
1687159578.3738983	614.27	685.21	4.43	4.28	0.0	0.0	-0.47	-5.3	1299.48	09:26:18.36
